prix,surface,pieces,adresse,type_bien,sous_type,departement_nom,departement_code
174 500,40,2,Centre-Saint Germain-Vareilles Ambérieu-en-Bugey (01500),Appartement,Appartement,Ain,01
399 000,112,5,Centre-Saint Germain-Vareilles Ambérieu-en-Bugey (01500),Appartement,Appartement,Ain,01
199 000,59,3,Centre-Saint Germain-Vareilles Ambérieu-en-Bugey (01500),Appartement,Appartement,Ain,01
498 000,78,3,Sergy (01630),Appartement,Appartement,Ain,01
364 900,99,5,Centre Ville Bourg-en-Bresse (01000),Appartement,Appartement,Ain,01
235 000,108,6,Beynost (01700),Maison,Maison,Ain,01
277 000,85,4,Centre-Saint Germain-Vareilles Ambérieu-en-Bugey (01500),Appartement,Appartement,Ain,01
391 000,67,3,Ouest Saint-Genis-Pouilly (01630),Appartement,Appartement,Ain,01
149 000,"93,1",4,Grenoble (38100),Appartement,Appartement,Ain,01
414 000,64,3,Centre Ferney-Voltaire (01210),Appartement,Appartement,Ain,01
133 500,46,2,Centre-Brou Bourg en Bresse (01000),Appartement,Appartement,Ain,01
165 000,42,2,Nord Jassans-Riottier (01480),Appartement,Appartement,Ain,01
490 000,81,4,Cessy (01170),Appartement,Appartement,Ain,01
57 000,25,2,Lélex (01410),Appartement,Appartement,Ain,01
499 000,121,5,Centre Ville Bourg-en-Bresse (01000),Appartement,Appartement,Ain,01
399 900,99,5,Centre Ville Bourg-en-Bresse (01000),Appartement,Appartement,Ain,01
499 000,123,5,Centre Ville Bourg-en-Bresse (01000),Appartement,Appartement,Ain,01
205 000,75,4,Gare-Peloux Mail-Citadelle Bourg-en-Bresse (01000),Appartement,Appartement,Ain,01
110 000,39,2,Gare-Peloux Mail-Citadelle Bourg-en-Bresse (01000),Appartement,Appartement,Ain,01
160 000,53,3,Gare-Peloux Mail-Citadelle Bourg-en-Bresse (01000),Appartement,Appartement,Ain,01
249 000,53,3,Les Deux Alpes (38860),Appartement,Appartement,Ain,01
185 000,31,1,Est Ferney-Voltaire (01210),Appartement,Appartement,Ain,01
550 000,230,8,Baudières Bourg-en-Bresse (01000),Maison,Maison,Ain,01
449 000,120,3,Centre Ferney Voltaire (01210),Appartement,Duplex,Ain,01
449 000,120,3,Centre Ferney Voltaire (01210),Appartement,Duplex,Ain,01
166 000,38,2,Gare-Peloux Mail-Citadelle Bourg-en-Bresse (01000),Appartement,Appartement,Ain,01
299 500,71,3,Nord Jassans-Riottier (01480),Appartement,Appartement,Ain,01
295 500,71,3,Nord Jassans-Riottier (01480),Appartement,Appartement,Ain,01
500 900,94,4,Thoiry (01710),Appartement,Appartement,Ain,01
135 000,66,3,RDC Est Trevoux (01600),Appartement,Appartement,Ain,01
357 900,68,3,Thoiry (01710),Appartement,Appartement,Ain,01
357 900,68,3,Thoiry (01710),Appartement,Appartement,Ain,01
495 000,102,4,RDC Thoiry (01710),Appartement,Appartement,Ain,01
174 000,46,2,Centre Ville Bourg-en-Bresse (01000),Appartement,Appartement,Ain,01
480 000,"62,3",3,Flammarion Lyon 4ème (69004),Appartement,Appartement,Ain,01
194 200,82,4,Bourg-en-Bresse (01000),Appartement,Appartement,Ain,01
421 000,64,3,Centre Ferney-Voltaire (01210),Appartement,Appartement,Ain,01
487 000,78,4,Centre Ferney-Voltaire (01210),Appartement,Appartement,Ain,01
400 000,65,3,RDC Centre Ferney-Voltaire (01210),Appartement,Appartement,Ain,01
466 000,74,4,Centre Ferney-Voltaire (01210),Appartement,Appartement,Ain,01
529 900,123,5,Centre Ville Bourg-en-Bresse (01000),Appartement,Appartement,Ain,01
227 000,63,3,Les Perouses-Triangle d'Activité Ambérieu-en-Bugey (01500),Appartement,Appartement,Ain,01
227 000,64,3,Les Perouses-Triangle d'Activité Ambérieu-en-Bugey (01500),Appartement,Appartement,Ain,01
278 000,67,3,RDC Nord Jassans-Riottier (01480),Appartement,Appartement,Ain,01
252 500,62,3,Nord Jassans-Riottier (01480),Appartement,Appartement,Ain,01
182 500,39,2,Nord Jassans-Riottier (01480),Appartement,Appartement,Ain,01
255 000,62,3,Nord Jassans-Riottier (01480),Appartement,Appartement,Ain,01
169 000,117,4,Virieu-le-Grand (01510),Maison,Maison,Ain,01
165 000,"25,9",1,Italie-Jacotot Aix les Bains (73100),Appartement,Appartement,Ain,01
284 500,80,4,Nord Jassans-Riottier (01480),Appartement,Appartement,Ain,01
129 900,33,1,Thoiry (01710),Appartement,Appartement,Ain,01
299 500,80,4,Ambérieu-en-Bugey (01500),Appartement,Appartement,Ain,01
216 500,40,2,Nord Jassans-Riottier (01480),Appartement,Appartement,Ain,01
347 000,46,2,Centre Ferney-Voltaire (01210),Appartement,Appartement,Ain,01
281 200,83,4,Gare-Peloux Mail-Citadelle Bourg-en-Bresse (01000),Appartement,Appartement,Ain,01
222 000,56,3,RDC Gare-Peloux Mail-Citadelle Bourg-en-Bresse (01000),Appartement,Appartement,Ain,01
434 000,73,3,RDC Centre Ferney-Voltaire (01210),Appartement,Appartement,Ain,01
514 900,121,5,Centre Ville Bourg-en-Bresse (01000),Appartement,Appartement,Ain,01
192 000,44,2,RDC Gare-Peloux Mail-Citadelle Bourg-en-Bresse (01000),Appartement,Appartement,Ain,01
355 000,"45,9",2,Les Houches (74310),Appartement,Appartement,Ain,01
578 000,67,3,Sud Ouest Divonne-les-Bains (01220),Appartement,Appartement,Ain,01
416 500,67,3,Est Saint-Genis-Pouilly (01630),Appartement,Appartement,Ain,01
557 000,89,4,Centre Ferney-Voltaire (01210),Appartement,Appartement,Ain,01
249 500,62,3,Ambérieu-en-Bugey (01500),Appartement,Appartement,Ain,01
259 500,64,3,Ambérieu-en-Bugey (01500),Appartement,Appartement,Ain,01
378 000,"69,5",3,Est Ferney-Voltaire (01210),Appartement,Appartement,Ain,01
164 000,65,3,Baudières Bourg-en-Bresse (01000),Appartement,Appartement,Ain,01
549 000,112,5,Saint Jean de Thurigneux (01390),Maison,Maison,Ain,01
783 000,121,5,Centre Ferney-Voltaire (01160),Appartement,Appartement,Ain,01
