prix,surface,pieces,adresse,type_bien,departement_nom,departement_code
983 500,105,4.0,Aix-en-Provence (13100),Appartement,Bouches-du-Rhône,13
983 500,105,4.0,Aix-en-Provence (13100),Appartement,Bouches-du-Rhône,13
950 500,128,5.0,Aix-en-Provence (13100),Appartement,Bouches-du-Rhône,13
950 500,128,5.0,Aix-en-Provence (13100),Appartement,Bouches-du-Rhône,13
942 100,108,4.0,Marseille 8ème (13008),Appartement,Bouches-du-Rhône,13
942 100,108,4.0,Marseille 8ème (13008),Appartement,Bouches-du-Rhône,13
890 000,102,4.0,"Mazenod-Bellevue-Saint Donat-Banon, Aix-en-Provence (13090)",Appartement,Bouches-du-Rhône,13
890 000,102,4.0,"Mazenod-Bellevue-Saint Donat-Banon, Aix-en-Provence (13090)",Appartement,Bouches-du-Rhône,13
882 000,"110,4",4.0,"Mazarin-Opéra-Bellegarde-Mairie, Aix-en-Provence (13080)",Appartement,Bouches-du-Rhône,13
882 000,"110,4",4.0,"Mazarin-Opéra-Bellegarde-Mairie, Aix-en-Provence (13080)",Appartement,Bouches-du-Rhône,13
844 600,108,4.0,"Vieille Chapelle, Marseille 8ème (13008)",Appartement,Bouches-du-Rhône,13
844 600,108,4.0,"Vieille Chapelle, Marseille 8ème (13008)",Appartement,Bouches-du-Rhône,13
765 000,116,4.0,"Endoume, Marseille 7ème (13007)",Maison,Bouches-du-Rhône,13
765 000,116,4.0,"Endoume, Marseille 7ème (13007)",Maison,Bouches-du-Rhône,13
698 000,141,4.0,"Opéra, Marseille 1er (13001)",Appartement,Bouches-du-Rhône,13
698 000,141,4.0,"Opéra, Marseille 1er (13001)",Appartement,Bouches-du-Rhône,13
695 000,274  de terrain,4.0,"Saint Barnabé, Marseille 12ème (13012)",Maison,Bouches-du-Rhône,13
660 000,"93,6",4.0,"Mazenod-Bellevue-Saint Donat-Banon, Aix-en-Provence (13100)",Appartement,Bouches-du-Rhône,13
660 000,"93,6",4.0,"Mazenod-Bellevue-Saint Donat-Banon, Aix-en-Provence (13100)",Appartement,Bouches-du-Rhône,13
623 000,"87,7",4.0,"Sud-Universités, Aix-en-Provence (13090)",Appartement,Bouches-du-Rhône,13
623 000,"87,7",4.0,"Sud-Universités, Aix-en-Provence (13090)",Appartement,Bouches-du-Rhône,13
