prix,surface,pieces,adresse,type_bien,sous_type,departement_nom,departement_code,prix_m2
983500,105.0,4.0,Aix-en-Provence (13100),Appartement,Appartement,Bouches-du-Rhône,13,9366.666666666666
950500,128.0,5.0,Aix-en-Provence (13100),Appartement,Appartement,Bouches-du-Rhône,13,7425.78125
942100,108.0,4.0,Marseille 8ème (13008),Appartement,Appartement,Bouches-du-Rhône,13,8723.148148148148
890000,102.0,4.0,"Mazenod-Bellevue-Saint Donat-Banon, Aix-en-Provence (13090)",Appartement,Appartement,Bouches-du-Rhône,13,8725.490196078432
882000,110.4,4.0,"Mazarin-Opéra-Bellegarde-Mairie, Aix-en-Provence (13080)",Appartement,Appartement,Bouches-du-Rhône,13,7989.130434782608
844600,108.0,4.0,"Vieille Chapelle, Marseille 8ème (13008)",Appartement,Appartement,Bouches-du-Rhône,13,7820.37037037037
765000,116.0,4.0,"Endoume, Marseille 7ème (13007)",Maison,Maison,Bouches-du-Rhône,13,6594.827586206897
698000,141.0,4.0,"Opéra, Marseille 1er (13001)",Appartement,Appartement,Bouches-du-Rhône,13,4950.354609929078
660000,93.6,4.0,"Mazenod-Bellevue-Saint Donat-Banon, Aix-en-Provence (13100)",Appartement,Appartement,Bouches-du-Rhône,13,7051.282051282052
623000,87.7,4.0,"Sud-Universités, Aix-en-Provence (13090)",Appartement,Appartement,Bouches-du-Rhône,13,7103.762827822121
620000,80.0,3.0,"Mazenod-Bellevue-Saint Donat-Banon, Aix-en-Provence (13090)",Appartement,Appartement,Bouches-du-Rhône,13,7750.0
590000,118.0,4.0,"Saint Giniez, Marseille 8ème (13008)",Appartement,Appartement,Bouches-du-Rhône,13,5000.0
580000,90.0,3.0,Aix en Provence (13100),Appartement,Appartement,Bouches-du-Rhône,13,6444.444444444444
550000,64.2,3.0,"Mazarin-Opéra-Bellegarde-Mairie, Aix-en-Provence (13080)",Appartement,Appartement,Bouches-du-Rhône,13,8566.978193146417
530000,73.0,3.0,"Mazarin-Opéra-Bellegarde-Mairie, Aix-en-Provence (13100)",Appartement,Appartement,Bouches-du-Rhône,13,7260.273972602739
530000,115.0,4.0,"Cinq Avenues, Marseille 4ème (13004)",Appartement,Appartement,Bouches-du-Rhône,13,4608.695652173913
505000,65.7,3.0,"Mazenod-Bellevue-Saint Donat-Banon, Aix-en-Provence (13100)",Appartement,Appartement,Bouches-du-Rhône,13,7686.4535768645355
500000,92.0,4.0,"Montredon, Marseille 8ème (13008)",Appartement,Appartement,Bouches-du-Rhône,13,5434.782608695652
488000,92.0,4.0,"Bompard, Marseille 7ème (13007)",Appartement,Appartement,Bouches-du-Rhône,13,5304.347826086957
455800,72.0,3.0,Marseille 8ème (13008),Appartement,Appartement,Bouches-du-Rhône,13,6330.555555555556
447000,65.9,3.0,"Sud-Universités, Aix-en-Provence (13090)",Appartement,Appartement,Bouches-du-Rhône,13,6783.0045523520475
438000,46.2,2.0,"Mazarin-Opéra-Bellegarde-Mairie, Aix-en-Provence (13080)",Appartement,Appartement,Bouches-du-Rhône,13,9480.51948051948
426000,63.0,3.0,Aix-en-Provence (13100),Appartement,Appartement,Bouches-du-Rhône,13,6761.9047619047615
415000,70.0,3.0,"Bonneveine, Marseille 8ème (13008)",Appartement,Appartement,Bouches-du-Rhône,13,5928.571428571428
375000,95.0,4.0,Marseille 10ème (13010),Appartement,Appartement,Bouches-du-Rhône,13,3947.3684210526317
369900,63.0,3.0,"Sainte Marguerite, Marseille 9ème (13009)",Appartement,Appartement,Bouches-du-Rhône,13,5871.428571428572
350500,44.0,2.0,Aix-en-Provence (13100),Appartement,Appartement,Bouches-du-Rhône,13,7965.909090909091
350000,45.2,2.0,"Mazenod-Bellevue-Saint Donat-Banon, Aix-en-Provence (13100)",Appartement,Appartement,Bouches-du-Rhône,13,7743.362831858407
288700,37.0,2.0,Marseille 8ème (13008),Appartement,Appartement,Bouches-du-Rhône,13,7802.7027027027025
284000,82.0,4.0,"Les Crottes, Marseille 15ème Arrondissement (13015)",Appartement,Appartement,Bouches-du-Rhône,13,3463.4146341463415
274000,77.1,4.0,"La Rose, Marseille 13ème (13013)",Appartement,Appartement,Bouches-du-Rhône,13,3553.826199740597
268000,66.0,3.0,"Sud-Universités, Aix-en-Provence (13100)",Appartement,Appartement,Bouches-du-Rhône,13,4060.6060606060605
262000,27.2,1.0,"Mazarin-Opéra-Bellegarde-Mairie, Aix-en-Provence (13080)",Appartement,Appartement,Bouches-du-Rhône,13,9632.35294117647
226000,63.0,3.0,Marseille 10ème (13010),Appartement,Appartement,Bouches-du-Rhône,13,3587.3015873015875
225000,75.0,4.0,"Lodi, Marseille 6ème (13006)",Appartement,Appartement,Bouches-du-Rhône,13,3000.0
215100,59.9,3.0,"La Rose, Marseille 13ème (13013)",Appartement,Appartement,Bouches-du-Rhône,13,3590.984974958264
1990000,201.0,5.0,"Mazarin-Opéra-Bellegarde-Mairie, Aix-en-Provence (13100)",Appartement,Appartement,Bouches-du-Rhône,13,9900.49751243781
1590000,137.5,6.0,"Sud-Universités, Aix-en-Provence (13080)",Appartement,Appartement,Bouches-du-Rhône,13,11563.636363636364
1495000,175.0,5.0,"Mazenod-Bellevue-Saint Donat-Banon, Aix-en-Provence (13090)",Appartement,Appartement,Bouches-du-Rhône,13,8542.857142857143
1300000,116.0,4.0,"Mazarin-Opéra-Bellegarde-Mairie, Aix-en-Provence (13100)",Appartement,Appartement,Bouches-du-Rhône,13,11206.896551724138
1134000,155.2,6.0,"Sud-Universités, Aix-en-Provence (13080)",Maison,Maison,Bouches-du-Rhône,13,7306.701030927836
199000,44.7,3.0,"Logis Neuf Ouest, Allauch (13190)",Appartement,Appartement,Bouches-du-Rhône,13,4451.901565995526
193999,50.0,3.0,"Les Crottes, Marseille 15ème Arrondissement (13015)",Appartement,Appartement,Bouches-du-Rhône,13,3879.98
180000,39.0,1.0,Marseille 15ème Arrondissement (13015),Appartement,Appartement,Bouches-du-Rhône,13,4615.384615384615
154000,39.1,2.0,"La Rose, Marseille 13ème (13013)",Appartement,Appartement,Bouches-du-Rhône,13,3938.618925831202
152000,42.0,2.0,"Les Crottes, Marseille 15ème Arrondissement (13015)",Appartement,Appartement,Bouches-du-Rhône,13,3619.0476190476193
150000,40.0,2.0,Marseille 13ème (13013),Appartement,Appartement,Bouches-du-Rhône,13,3750.0
110460,19.0,1.0,Marseille 13ème (13013),Appartement,Appartement,Bouches-du-Rhône,13,5813.684210526316
399000,75.0,4.0,"Fauconnet, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,5320.0
339000,94.4,5.0,"Arsenal, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,3591.101694915254
325000,60.0,3.0,"Fauconnet, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,5416.666666666667
289000,73.4,4.0,"Fauconnet, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,3937.3297002724794
267000,63.0,3.0,"Carrieres Bacquin, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,4238.0952380952385
255000,62.6,3.0,"Fauconnet, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,4073.482428115016
240000,60.0,3.0,"Fauconnet, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,4000.0
221000,58.9,3.0,"Arsenal, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,3752.1222410865876
219000,59.0,3.0,"Bel Air, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,3711.864406779661
215416,62.7,3.0,"Activités Economiques, Fontaine-Lès-Dijon (21121)",Appartement,Appartement,Côte-d'Or,21,3435.6618819776713
213000,60.0,3.0,"Balzac, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,3550.0
204000,62.3,3.0,"Abattoirs, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,3274.478330658106
199000,43.0,2.0,"Carrieres Bacquin, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,4627.906976744186
191000,61.4,3.0,Plombieres-les-Dijon (21370),Appartement,Appartement,Côte-d'Or,21,3110.7491856677525
180000,40.0,2.0,"Fauconnet, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,4500.0
179000,40.0,2.0,"Balzac, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,4475.0
178500,43.0,2.0,"Bel Air, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,4151.162790697675
159500,43.3,2.0,"Carrousel, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,3683.6027713625867
159000,45.0,2.0,"Abattoirs, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,3533.3333333333335
151000,35.3,2.0,"Docteur Lavalle, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,4277.620396600567
149000,79.0,3.0,"Toison d'Or-Zone Industrielle, Dijon (21000)",Appartement,Appartement,Côte-d'Or,21,1886.0759493670887
