latitude,longitude,prix,surface,pieces,type_bien,code_postal,departement,ville
43.5403693,5.522134,983500,105.0,4.0,Appartement,13100,13,Aix-en-Provence
43.5403693,5.522134,950500,128.0,5.0,Appartement,13100,13,Aix-en-Provence
43.2535086,5.3826154,942100,108.0,4.0,Appartement,13008,13,Marseille
43.5271113,5.4305293,890000,102.0,4.0,Appartement,13090,13,Aix-en-Provence
43.4984433,5.421383,882000,110.4,4.0,Appartement,13080,13,Aix-en-Provence
43.2535086,5.3826154,844600,108.0,4.0,Appartement,13008,13,Marseille
43.2878999,5.3585612,765000,116.0,4.0,Maison,13007,13,Marseille
43.3066116,5.3840371,698000,141.0,4.0,Appartement,13001,13,Marseille
43.5403693,5.522134,660000,93.6,4.0,Appartement,13100,13,Aix-en-Provence
43.5271113,5.4305293,623000,87.7,4.0,Appartement,13090,13,Aix-en-Provence
43.5271113,5.4305293,620000,80.0,3.0,Appartement,13090,13,Aix-en-Provence
43.2535086,5.3826154,590000,118.0,4.0,Appartement,13008,13,Marseille
43.4984433,5.421383,550000,64.2,3.0,Appartement,13080,13,Aix-en-Provence
43.5403693,5.522134,530000,73.0,3.0,Appartement,13100,13,Aix-en-Provence
43.3085865,5.4000614,530000,115.0,4.0,Appartement,13004,13,Marseille
43.5403693,5.522134,505000,65.7,3.0,Appartement,13100,13,Aix-en-Provence
43.2535086,5.3826154,500000,92.0,4.0,Appartement,13008,13,Marseille
43.2878999,5.3585612,488000,92.0,4.0,Appartement,13007,13,Marseille
43.2535086,5.3826154,455800,72.0,3.0,Appartement,13008,13,Marseille
43.5271113,5.4305293,447000,65.9,3.0,Appartement,13090,13,Aix-en-Provence
43.4984433,5.421383,438000,46.2,2.0,Appartement,13080,13,Aix-en-Provence
43.5403693,5.522134,426000,63.0,3.0,Appartement,13100,13,Aix-en-Provence
43.2535086,5.3826154,415000,70.0,3.0,Appartement,13008,13,Marseille
43.2821181,5.4157957,375000,95.0,4.0,Appartement,13010,13,Marseille
43.2524772,5.4138202,369900,63.0,3.0,Appartement,13009,13,Marseille
43.5403693,5.522134,350500,44.0,2.0,Appartement,13100,13,Aix-en-Provence
43.5403693,5.522134,350000,45.2,2.0,Appartement,13100,13,Aix-en-Provence
43.2535086,5.3826154,288700,37.0,2.0,Appartement,13008,13,Marseille
43.3550737,5.3574649,284000,82.0,4.0,Appartement,13015,13,Marseille
43.3413417,5.4360677,274000,77.1,4.0,Appartement,13013,13,Marseille
43.5403693,5.522134,268000,66.0,3.0,Appartement,13100,13,Aix-en-Provence
43.4984433,5.421383,262000,27.2,1.0,Appartement,13080,13,Aix-en-Provence
43.2821181,5.4157957,226000,63.0,3.0,Appartement,13010,13,Marseille
43.2892009,5.381581,225000,75.0,4.0,Appartement,13006,13,Marseille
