prix,surface,pieces,adresse,type_bien,departement_nom,departement_code
135 000,42,2,Valserhone (01200),Appartement,Ain,01
71 000,100,2,Virieu-le-Grand (01510),Maison,Ain,01
320 000,270,15,Sud Ouest Belley (01300),Maison,Ain,01
815 000,327,7,Sulignat (01400),Maison,Ain,01
509 000,81,4,RDC Cessy (01170),Appartement,Ain,01
255 000,60,3,RDC Nord Jassans-Riottier (01480),Appartement,Ain,01
441 000,70,3,Centre Ferney-Voltaire (01210),Appartement,Ain,01
528 000,86,4,Centre Ferney-Voltaire (01210),Appartement,Ain,01
555 000,"105,5",5,Bressis-Neigeos Annecy (74000),Appartement,Ain,01
340 000,45,2,Centre Ferney-Voltaire (01210),Appartement,Ain,01
783 000,120,5,Centre Ferney-Voltaire (01210),Appartement,Ain,01
148 000,88,4,Bourg en Bresse (01000),Appartement,Ain,01
279 500,"121,8",6,Replonges (01750),Maison,Ain,01
562 000,94,5,Sergy (01630),Appartement,Ain,01
669 000,91,4,Nord Ouest Divonne-les-Bains (01220),Appartement,Ain,01
434 000,74,3,RDC Centre Ferney-Voltaire (01210),Appartement,Ain,01
536 500,86,4,Est Saint-Genis-Pouilly (01630),Appartement,Ain,01
509 000,87,4,Centre Ferney-Voltaire (01210),Appartement,Ain,01
597 000,111,5,Sergy (01630),Appartement,Ain,01
499 000,87,4,Centre Ferney-Voltaire (01210),Appartement,Ain,01
524 000,87,4,Centre Ferney-Voltaire (01210),Appartement,Ain,01
212 000,"40,9",2,Centre Bourg Claix (38640),Appartement,Ain,01
399 000,67,3,Ségny (01170),Appartement,Ain,01
699 000,118,5,Ségny (01170),Maison,Ain,01
539 000,92,5,Est Saint-Genis-Pouilly (01630),Appartement,Ain,01
400 000,68,3,Est Saint-Genis-Pouilly (01630),Appartement,Ain,01
364 000,182,7,Bâgé-Dommartin (01380),Maison,Ain,01
199 308,82,4,Bourg-en-Bresse (01000),Appartement,Ain,01
182 604,82,4,Bourg-en-Bresse (01000),Appartement,Ain,01
180 845,82,4,Bourg-en-Bresse (01000),Appartement,Ain,01
310 000,48,2,Sergy (01630),Appartement,Ain,01
151 525,57,3,Bourg-en-Bresse (01000),Appartement,Ain,01
762 000,"98,8",5,Annecy-le-Vieux (74940),Appartement,Ain,01
532 000,93,4,Sergy (01630),Appartement,Ain,01
191 395,77,4,Bourg-en-Bresse (01000),Appartement,Ain,01
382 000,61,3,Sergy (01630),Appartement,Ain,01
549 000,106,4,Sergy (01630),Appartement,Ain,01
492 000,90,4,Sergy (01630),Appartement,Ain,01
114 600,43,2,Bourg-en-Bresse (01000),Appartement,Ain,01
189 637,82,4,Bourg-en-Bresse (01000),Appartement,Ain,01
175 570,75,4,Bourg-en-Bresse (01000),Appartement,Ain,01
206 341,83,4,Bourg-en-Bresse (01000),Appartement,Ain,01
199 000,164,5,Amberieu en Bugey (01500),Maison,Ain,01
155 350,62,3,Bourg-en-Bresse (01000),Appartement,Ain,01
203 704,83,4,Bourg-en-Bresse (01000),Appartement,Ain,01
213 375,93,5,Bourg-en-Bresse (01000),Appartement,Ain,01
445 000,"75,5",4,,Appartement,Ain,01
115 479,43,2,Bourg-en-Bresse (01000),Appartement,Ain,01
399 000,65,3,Ferney-Voltaire (01210),Appartement,Ain,01
158 558,57,2,Bourg-en-Bresse (01000),Appartement,Ain,01
160 316,62,3,Bourg-en-Bresse (01000),Appartement,Ain,01
390 000,125,5,Ouest Trévoux (01600),Maison,Ain,01
154 162,57,3,Bourg-en-Bresse (01000),Appartement,Ain,01
537 000,103,4,Sergy (01630),Appartement,Ain,01
532 000,95,4,Sergy (01630),Appartement,Ain,01
415 000,69,3,Ferney-Voltaire (01210),Appartement,Ain,01
204 583,83,4,Bourg-en-Bresse (01000),Appartement,Ain,01
152 712,62,3,Bourg-en-Bresse (01000),Appartement,Ain,01
118 995,43,2,Bourg-en-Bresse (01000),Appartement,Ain,01
155 000,86,4,Grenoble (38100),Appartement,Ain,01
160 625,63,3,Bourg-en-Bresse (01000),Appartement,Ain,01
188 758,77,4,Bourg-en-Bresse (01000),Appartement,Ain,01
193 154,77,4,Bourg-en-Bresse (01000),Appartement,Ain,01
183 483,75,4,Bourg-en-Bresse (01000),Appartement,Ain,01
283 000,45,2,Sergy (01630),Appartement,Ain,01
162 954,63,3,Bourg-en-Bresse (01000),Appartement,Ain,01
399 000,69,3,Ferney-Voltaire (01210),Appartement,Ain,01
113 720,42,2,Bourg-en-Bresse (01000),Appartement,Ain,01
177 329,82,4,Bourg-en-Bresse (01000),Appartement,Ain,01
197 550,82,4,Bourg-en-Bresse (01000),Appartement,Ain,01
372 000,62,3,Sergy (01630),Appartement,Ain,01
112 841,43,2,Bourg-en-Bresse (01000),Appartement,Ain,01
201 066,82,4,Bourg-en-Bresse (01000),Appartement,Ain,01
748 000,226,8,Roche (38090),Maison,Ain,01
515 000,89,4,Sergy (01630),Appartement,Ain,01
181 725,75,4,Bourg-en-Bresse (01000),Appartement,Ain,01
150 954,62,3,Bourg-en-Bresse (01000),Appartement,Ain,01
178 440,38,2,RDC Saint Waast Soissons (02200),Appartement,Aisne,02
136 500,109,6,Villers-Cotterets (02600),Maison,Aisne,02
299 000,147,7,Vauxbuin (02200),Maison,Aisne,02
184 990,138,6,Europe-Remicourt Saint-Quentin (02100),Maison,Aisne,02
204 000,145,4,Centre Ville Saint Quentin (02100),Maison,Aisne,02
239 900,190,7,Cutry (02600),Maison,Aisne,02
239 500,117,4,Soissons (02200),Maison,Aisne,02
249 000,"62,7",3,Ouest Vaires-sur-Marne (77360),Appartement,Aisne,02
70 000,75,3,Centre Ville Saint-Quentin (02100),Appartement,Aisne,02
184 900,100,5,Centre Soissons (02200),Maison,Aisne,02
