type_bien,prix,pieces,chambres,surface,etage,adresse,description,agence
Appartement à vendre - neuf,499 000 €8 317 €/m²,3,,60,,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)","Envie d'une adresse prestigieuse au cœur de Toulouse ? Découvrez des appartements d'exception du T3 au T4, dans un quartier recherché, entre le Canal du Midi et le Jardin du Grand Rond. * Terrasse ou...",NOVANEA
Appartement à vendre - neuf,499 000 €8 317 €/m²,3,,60,,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)","Envie d'une adresse prestigieuse au cœur de Toulouse ? Découvrez des appartements d'exception du T3 au T4, dans un quartier recherché, entre le Canal du Midi et le Jardin du Grand Rond. * Terrasse ou...",NOVANEA
Appartement à vendre - neuf,850 000 €6 967 €/m²,4,,122,,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)","Envie d'une adresse prestigieuse au cœur de Toulouse ? Découvrez des appartements d'exception du T3 au T4, dans un quartier recherché, entre le Canal du Midi et le Jardin du Grand Rond. * Terrasse ou...",NOVANEA
Appartement à vendre - neuf,850 000 €6 967 €/m²,4,,122,,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)","Envie d'une adresse prestigieuse au cœur de Toulouse ? Découvrez des appartements d'exception du T3 au T4, dans un quartier recherché, entre le Canal du Midi et le Jardin du Grand Rond. * Terrasse ou...",NOVANEA
Duplex à vendre,419 000 €3 809 €/m²,3,2,110,1/3,"Capitole, Toulouse (31000)","TOULOUSE HYPER-CENTRE – DUPLEX DE CHARME – 5 M DE HAUTEUR SOUS PLAFOND – POUTRES APPARENTES – HÔTEL PARTICULIER À deux pas de la place du Capitole et du Pont-Neuf, découvrez ce superbe appartement T3...",NGUYEN BAN Benedicte Agent mandataire Optimhome
Duplex à vendre,419 000 €3 809 €/m²,3,2,110,1/3,"Capitole, Toulouse (31000)","TOULOUSE HYPER-CENTRE – DUPLEX DE CHARME – 5 M DE HAUTEUR SOUS PLAFOND – POUTRES APPARENTES – HÔTEL PARTICULIER À deux pas de la place du Capitole et du Pont-Neuf, découvrez ce superbe appartement T3...",NGUYEN BAN Benedicte Agent mandataire Optimhome
Appartement à vendre,250 000 €4 717 €/m²,2,1,53,4/4,"Capitole, Toulouse (31000)","Toulouse – Quartier La Daurade / Jacobins Appartement T2 – Dernier étage – Immeuble de caractère À deux pas des Jacobins, découvrez ce superbe appartement de type 2, traversant et entièrement rénové,...",ORPI SAINT GEORGES
Appartement à vendre,250 000 €4 717 €/m²,2,1,53,4/4,"Capitole, Toulouse (31000)","Toulouse – Quartier La Daurade / Jacobins Appartement T2 – Dernier étage – Immeuble de caractère À deux pas des Jacobins, découvrez ce superbe appartement de type 2, traversant et entièrement rénové,...",ORPI SAINT GEORGES
Appartement à vendre - neuf,169 000 €4 829 €/m²,2,1,35,,Toulouse (31000),"Avec plus de 15 000 nouveaux habitants chaque année, Toulouse évolue et se réinvente à travers de nombreux projets urbains. Pôle d'excellence en aéronautique et en nouvelles technologies, elle séduit...",GROUPE STRADIM
Appartement à vendre - neuf,169 000 €4 829 €/m²,2,1,35,,Toulouse (31000),"Avec plus de 15 000 nouveaux habitants chaque année, Toulouse évolue et se réinvente à travers de nombreux projets urbains. Pôle d'excellence en aéronautique et en nouvelles technologies, elle séduit...",GROUPE STRADIM
Appartement à vendre - neuf,879 000 €11 269 €/m²,4,3,78,3/3,"Capitole, Toulouse (31000)","[ IMMOBILIER DE PRESTIGE ] Betmajou est le symbole d'un lieu de vie d'exception, une résidence prestigieuse aux prestations très haut standing au cœur du centre historique toulousain face au Palais N...",SAINT-AGNE IMMOBILIER
Appartement à vendre - neuf,879 000 €11 269 €/m²,4,3,78,3/3,"Capitole, Toulouse (31000)","[ IMMOBILIER DE PRESTIGE ] Betmajou est le symbole d'un lieu de vie d'exception, une résidence prestigieuse aux prestations très haut standing au cœur du centre historique toulousain face au Palais N...",SAINT-AGNE IMMOBILIER
Appartement à vendre - neuf,239 000 €4 268 €/m²,3,2,56,,Toulouse (31000),"Avec plus de 15 000 nouveaux habitants chaque année, Toulouse évolue et se réinvente à travers de nombreux projets urbains. Pôle d'excellence en aéronautique et en nouvelles technologies, elle séduit...",GROUPE STRADIM
Appartement à vendre - neuf,239 000 €4 268 €/m²,3,2,56,,Toulouse (31000),"Avec plus de 15 000 nouveaux habitants chaque année, Toulouse évolue et se réinvente à travers de nombreux projets urbains. Pôle d'excellence en aéronautique et en nouvelles technologies, elle séduit...",GROUPE STRADIM
Appartement à vendre - neuf,1 840 000 €12 690 €/m²,5,4,145,,"Capitole, Toulouse (31000)","[ IMMOBILIER DE PRESTIGE ] Betmajou est le symbole d'un lieu de vie d'exception, une résidence prestigieuse aux prestations très haut standing au cœur du centre historique toulousain face au Palais N...",SAINT-AGNE IMMOBILIER
Appartement à vendre - neuf,1 840 000 €12 690 €/m²,5,4,145,,"Capitole, Toulouse (31000)","[ IMMOBILIER DE PRESTIGE ] Betmajou est le symbole d'un lieu de vie d'exception, une résidence prestigieuse aux prestations très haut standing au cœur du centre historique toulousain face au Palais N...",SAINT-AGNE IMMOBILIER
Appartement à vendre - neuf,339 000 €4 346 €/m²,4,3,78,,Toulouse (31000),"Avec plus de 15 000 nouveaux habitants chaque année, Toulouse évolue et se réinvente à travers de nombreux projets urbains. Pôle d'excellence en aéronautique et en nouvelles technologies, elle séduit...",GROUPE STRADIM
Appartement à vendre - neuf,339 000 €4 346 €/m²,4,3,78,,Toulouse (31000),"Avec plus de 15 000 nouveaux habitants chaque année, Toulouse évolue et se réinvente à travers de nombreux projets urbains. Pôle d'excellence en aéronautique et en nouvelles technologies, elle séduit...",GROUPE STRADIM
Appartement à vendre,155 000 €2 348 €/m²,3,2,66,2/4,"Croix Daurade-Borderouge-Paleficat-Trois Cocus , Toulouse (31200)",À Vendre - Appartement T3 d'environ 66 m² avec Terrasse et Parking en Sous-sol - 31200 TOULOUSE. Découvrez cet appartement lumineux de 3 pièces situé dans une copropriété calme sécurisée et bien entr...,HK HOMEKARE
Appartement à vendre,489 000 €4 528 €/m²,4,3,108,2/4,Toulouse (31000),"Le Groupe FG met à la vente ce magnifique appartement dans un immeuble de caractère situé sur le Boulevard de Strasbourg. Profitant d'une vue sur la basilique Saint-Sernin, et d'une perspective agréa...",F G 4
Appartement à vendre,489 000 €4 528 €/m²,4,3,108,2/4,Toulouse (31000),"Le Groupe FG met à la vente ce magnifique appartement dans un immeuble de caractère situé sur le Boulevard de Strasbourg. Profitant d'une vue sur la basilique Saint-Sernin, et d'une perspective agréa...",F G 4
Appartement à vendre,166 000 €7 217 €/m²,2,,23,,"Capitole, Toulouse (31000)","Découvrez cet appartement de 2 pièces, récemment rénové, offrant une surface de 24 m². Idéalement localisé dans un immeuble de qualité, il est entièrement meublé et n'attend plus que vous. Avec son e...",Zefir
Appartement à vendre,166 000 €7 217 €/m²,2,,23,,"Capitole, Toulouse (31000)","Découvrez cet appartement de 2 pièces, récemment rénové, offrant une surface de 24 m². Idéalement localisé dans un immeuble de qualité, il est entièrement meublé et n'attend plus que vous. Avec son e...",Zefir
Appartement à vendre,797 000 €4 981 €/m²,5,4,160,2/3,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)","Situé au cœur de Toulouse, à proximité immédiate de la place du Dupuy, cet appartement T5 traversant, se compose d'une belle entrée, d'un séjour de 40m², d'une cuisine, de 4 chambres dont une chambre...",JUNOT CHÂTEAUX & PATRIMOINE
Appartement à vendre,797 000 €4 981 €/m²,5,4,160,2/3,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)","Situé au cœur de Toulouse, à proximité immédiate de la place du Dupuy, cet appartement T5 traversant, se compose d'une belle entrée, d'un séjour de 40m², d'une cuisine, de 4 chambres dont une chambre...",JUNOT CHÂTEAUX & PATRIMOINE
Appartement à vendre,795 000 €5 387 €/m²,3,2,"147,6",,"Capitole, Toulouse (31000)","Situé dans l’un des quartiers les plus recherchés du centre historique de Toulouse, entre la Place des Carmes et la Garonne, ce magnifique appartement de réception se distingue par son élégance, son ...",JUNOT CHÂTEAUX & PATRIMOINE
