type_bien,prix,pieces,chambres,surface,etage,adresse,description,agence
Appartement à vendre,1 790 000 €13 664 €/m²,6,5,131,1/6,"Invalides, Paris 7ème (75007)","Au sein d'une petite copropriété avec ascenseur, situé au 1er étage d'un immeuble ancien de 1850, cet appartement de 131 m² environ allie charme et potentiel. Il se compose d'une entrée, d'un double ...",DE FERLA CHAMP DE MARS
Appartement à vendre,699 000 €7 823 €/m²,4,2,"89,4",9/10,"Danube-Porte des Lilas, Paris 19ème (75019)","Au 33 bis boulevard Serrurier, Brew's vous ouvre les portes d'un appartement rare — celui qu'on n'imagine pas trouver là. Oui, c'est bien à la Porte des Lilas, et non, vous n'entendrez pas les voitur...",Brew s
Appartement à vendre,699 000 €7 823 €/m²,4,2,"89,4",9/10,"Danube-Porte des Lilas, Paris 19ème (75019)","Au 33 bis boulevard Serrurier, Brew's vous ouvre les portes d'un appartement rare — celui qu'on n'imagine pas trouver là. Oui, c'est bien à la Porte des Lilas, et non, vous n'entendrez pas les voitur...",Brew s
Appartement à vendre,449 000 €12 829 €/m²,1,,35,7/7,"Alleray Procession, Paris 15ème (75015)","Brew's vous présente en exclusivité ce bien rare : un studio de 35 m² au 7ème et dernier étage avec ascenseur, situé 11 rue Sainte-Félicité, Paris 15e, dans une copropriété très bien entretenue. Et l...",Brew s
Appartement à vendre,449 000 €12 829 €/m²,1,,35,7/7,"Alleray Procession, Paris 15ème (75015)","Brew's vous présente en exclusivité ce bien rare : un studio de 35 m² au 7ème et dernier étage avec ascenseur, situé 11 rue Sainte-Félicité, Paris 15e, dans une copropriété très bien entretenue. Et l...",Brew s
Appartement en viager · occupé,Bouquet 270 000 €et 500 €/mois,2,1,"43,5",13/13,"Alleray Procession, Paris 15ème (75015)",VIAGER OCCUPÉ 1 TETE - 2 PIECES PARIS 15EME VALEUR DU BIEN LIBRE DE TOUTE OCCUPATION = 384000 € DROIT D'USAGE ET D'HABITATION = 84000 € BOUQUET = 270000 €. LA RENTE MENSUELLE = 500 €. HONORAIRES AGEN...,VOUILLÉ IMMOBILIER
Appartement en viager · occupé,Bouquet 270 000 €et 500 €/mois,2,1,"43,5",13/13,"Alleray Procession, Paris 15ème (75015)",VIAGER OCCUPÉ 1 TETE - 2 PIECES PARIS 15EME VALEUR DU BIEN LIBRE DE TOUTE OCCUPATION = 384000 € DROIT D'USAGE ET D'HABITATION = 84000 € BOUQUET = 270000 €. LA RENTE MENSUELLE = 500 €. HONORAIRES AGEN...,VOUILLÉ IMMOBILIER
Maison à vendre - neuf,1 800 000 €13 433 €/m²,5,4,134,,"Vallée de Fécamp, Paris 12ème (75012)","Niché au cœur du 12ème arrondissement, à deux pas de l'avenue Daumesnil et de la place Félix Éboué, le programme Villas Daumesnil se décline en cinq maisons neuves aux surfaces généreuses. Véritables...",IKORY SERVICES IMMOBILIERS
Maison à vendre - neuf,1 800 000 €13 433 €/m²,5,4,134,,"Vallée de Fécamp, Paris 12ème (75012)","Niché au cœur du 12ème arrondissement, à deux pas de l'avenue Daumesnil et de la place Félix Éboué, le programme Villas Daumesnil se décline en cinq maisons neuves aux surfaces généreuses. Véritables...",IKORY SERVICES IMMOBILIERS
Appartement à vendre,1 050 000 €24 852 €/m²,2,1,"42,3",2/2,"Val de Grace, Paris 5ème (75005)","Au cœur du 5e arrondissement, rue du Pot de Fer, à deux pas de la rue Mouffetard et du Panthéon, se trouve cet appartement de 42,25 m² loi Carrez situé au deuxième étage d’un immeuble du XVIIe siècle...",JUNOT FINE PROPERTIES
