type_bien,sous_type,Ville,Arrondissement,Code_postal,departement_nom,departement_code,prix,surface,prix_m2,pieces
Appartement,Appartement,Aix-en-Provence,,13100,Bouches-du-Rhône,13,983500,105.0,9366.666666666666,4.0
Appartement,Appartement,Aix-en-Provence,,13100,Bouches-du-Rhône,13,950500,128.0,7425.78125,5.0
Appartement,Appartement,Marseille,8.0,13008,Bouches-du-Rhône,13,942100,108.0,8723.148148148148,4.0
Appartement,Appartement,Aix-en-Provence,,13090,Bouches-du-Rhône,13,890000,102.0,8725.490196078432,4.0
Appartement,Appartement,Aix-en-Provence,,13080,Bouches-du-Rhône,13,882000,110.4,7989.130434782608,4.0
Appartement,Appartement,Marseille,8.0,13008,Bouches-du-Rhône,13,844600,108.0,7820.37037037037,4.0
Maison,Maison,Marseille,7.0,13007,Bouches-du-Rhône,13,765000,116.0,6594.827586206897,4.0
Appartement,Appartement,Marseille,1.0,13001,Bouches-du-Rhône,13,698000,141.0,4950.354609929078,4.0
Appartement,Appartement,Aix-en-Provence,,13100,Bouches-du-Rhône,13,660000,93.6,7051.282051282052,4.0
Appartement,Appartement,Aix-en-Provence,,13090,Bouches-du-Rhône,13,623000,87.7,7103.762827822121,4.0
Appartement,Appartement,Aix-en-Provence,,13090,Bouches-du-Rhône,13,620000,80.0,7750.0,3.0
Appartement,Appartement,Marseille,8.0,13008,Bouches-du-Rhône,13,590000,118.0,5000.0,4.0
Appartement,Appartement,Provence,,13100,Bouches-du-Rhône,13,580000,90.0,6444.444444444444,3.0
Appartement,Appartement,Aix-en-Provence,,13080,Bouches-du-Rhône,13,550000,64.2,8566.978193146417,3.0
Appartement,Appartement,Aix-en-Provence,,13100,Bouches-du-Rhône,13,530000,73.0,7260.273972602739,3.0
Appartement,Appartement,Marseille,4.0,13004,Bouches-du-Rhône,13,530000,115.0,4608.695652173913,4.0
Appartement,Appartement,Aix-en-Provence,,13100,Bouches-du-Rhône,13,505000,65.7,7686.4535768645355,3.0
Appartement,Appartement,Marseille,8.0,13008,Bouches-du-Rhône,13,500000,92.0,5434.782608695652,4.0
Appartement,Appartement,Marseille,7.0,13007,Bouches-du-Rhône,13,488000,92.0,5304.347826086957,4.0
Appartement,Appartement,Marseille,8.0,13008,Bouches-du-Rhône,13,455800,72.0,6330.555555555556,3.0
Appartement,Appartement,Aix-en-Provence,,13090,Bouches-du-Rhône,13,447000,65.9,6783.0045523520475,3.0
Appartement,Appartement,Aix-en-Provence,,13080,Bouches-du-Rhône,13,438000,46.2,9480.51948051948,2.0
Appartement,Appartement,Aix-en-Provence,,13100,Bouches-du-Rhône,13,426000,63.0,6761.9047619047615,3.0
Appartement,Appartement,Marseille,8.0,13008,Bouches-du-Rhône,13,415000,70.0,5928.571428571428,3.0
Appartement,Appartement,Marseille,10.0,13010,Bouches-du-Rhône,13,375000,95.0,3947.3684210526317,4.0
Appartement,Appartement,Marseille,9.0,13009,Bouches-du-Rhône,13,369900,63.0,5871.428571428572,3.0
Appartement,Appartement,Aix-en-Provence,,13100,Bouches-du-Rhône,13,350500,44.0,7965.909090909091,2.0
Appartement,Appartement,Aix-en-Provence,,13100,Bouches-du-Rhône,13,350000,45.2,7743.362831858407,2.0
Appartement,Appartement,Marseille,8.0,13008,Bouches-du-Rhône,13,288700,37.0,7802.7027027027025,2.0
Appartement,Appartement,Marseille,15.0,13015,Bouches-du-Rhône,13,284000,82.0,3463.4146341463415,4.0
Appartement,Appartement,Marseille,13.0,13013,Bouches-du-Rhône,13,274000,77.1,3553.826199740597,4.0
Appartement,Appartement,Aix-en-Provence,,13100,Bouches-du-Rhône,13,268000,66.0,4060.6060606060605,3.0
Appartement,Appartement,Aix-en-Provence,,13080,Bouches-du-Rhône,13,262000,27.2,9632.35294117647,1.0
Appartement,Appartement,Marseille,10.0,13010,Bouches-du-Rhône,13,226000,63.0,3587.3015873015875,3.0
Appartement,Appartement,Marseille,6.0,13006,Bouches-du-Rhône,13,225000,75.0,3000.0,4.0
Appartement,Appartement,Marseille,13.0,13013,Bouches-du-Rhône,13,215100,59.9,3590.984974958264,3.0
Appartement,Appartement,Aix-en-Provence,,13100,Bouches-du-Rhône,13,1990000,201.0,9900.49751243781,5.0
Appartement,Appartement,Aix-en-Provence,,13080,Bouches-du-Rhône,13,1590000,137.5,11563.636363636364,6.0
Appartement,Appartement,Aix-en-Provence,,13090,Bouches-du-Rhône,13,1495000,175.0,8542.857142857143,5.0
Appartement,Appartement,Aix-en-Provence,,13100,Bouches-du-Rhône,13,1300000,116.0,11206.896551724138,4.0
Maison,Maison,Aix-en-Provence,,13080,Bouches-du-Rhône,13,1134000,155.2,7306.701030927836,6.0
Appartement,Appartement,Allauch,,13190,Bouches-du-Rhône,13,199000,44.7,4451.901565995526,3.0
Appartement,Appartement,Marseille,15.0,13015,Bouches-du-Rhône,13,193999,50.0,3879.98,3.0
Appartement,Appartement,Marseille,15.0,13015,Bouches-du-Rhône,13,180000,39.0,4615.384615384615,1.0
Appartement,Appartement,Marseille,13.0,13013,Bouches-du-Rhône,13,154000,39.1,3938.618925831202,2.0
Appartement,Appartement,Marseille,15.0,13015,Bouches-du-Rhône,13,152000,42.0,3619.0476190476193,2.0
Appartement,Appartement,Marseille,13.0,13013,Bouches-du-Rhône,13,150000,40.0,3750.0,2.0
Appartement,Appartement,Marseille,13.0,13013,Bouches-du-Rhône,13,110460,19.0,5813.684210526316,1.0
Appartement,Appartement,Dijon,,21000,Côte-d'Or,21,399000,75.0,5320.0,4.0
Appartement,Appartement,Dijon,,21000,Côte-d'Or,21,339000,94.4,3591.101694915254,5.0
Appartement,Appartement,Dijon,,21000,Côte-d'Or,21,325000,60.0,5416.666666666667,3.0
Appartement,Appartement,Dijon,,21000,Côte-d'Or,21,289000,73.4,3937.3297002724794,4.0
